date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2025-12-11,09:25,SELL,Judas Swing Model,A,76,25798.25,25806.88,25780.99,25806.88,8.630000000001019,False,1,50,25780.99,TP,17.2599999999984,863.0,09:30
2025-12-11,09:45,BUY,Turtle Soup Model (PDL),A+,92,25737.8,25690.91,25831.58,25737.8,46.88999999999942,True,6,50,25813.05,NEAR_TP,75.25,3762.5,10:15
2025-12-12,09:20,SELL,Judas Swing Model,A+,86,25992.3,26017.42,25942.06,26017.42,25.11999999999898,False,2,50,26017.42,SL,-25.11999999999898,-1256.0,09:30
2025-12-15,09:45,BUY,Judas Swing Model,A+,91,25937.7,25901.4,26010.3,25937.7,36.29999999999927,True,25,50,26010.3,TP,72.59999999999854,3630.0,11:50
2025-12-16,09:35,BUY,Turtle Soup Model (PDL),A+,87,25917.0,25898.94,25953.12,25917.0,18.06000000000131,True,4,50,25917.0,BREAKEVEN,0.0,0.0,09:55
2025-12-17,09:25,SELL,Judas Swing Model,A,76,25903.5,25928.4,25853.7,25928.4,24.900000000001455,False,2,50,25928.4,SL,-24.900000000001455,-1245.0,09:35
2025-12-17,09:50,BUY,Silver Bullet Model,A,80,25865.25,25844.55,25906.65,25844.55,20.700000000000728,False,3,50,25844.55,SL,-20.700000000000728,-1035.0,10:05
2025-12-23,09:25,BUY,Judas Swing Model,A+,86,26149.65,26139.25,26170.45,26139.25,10.400000000001455,False,1,50,26139.25,SL,-10.400000000001455,-520.0,09:30
2025-12-24,09:20,SELL,Judas Swing Model,A+,86,26206.0,26221.27,26175.46,26221.27,15.270000000000437,False,1,50,26221.27,SL,-15.270000000000437,-763.5,09:25
2025-12-24,10:15,SELL,Turtle Soup Model (PDH),A+,87,26224.25,26239.24,26194.27,26224.25,14.9900000000016,True,9,50,26202.1,NEAR_TP,22.150000000001455,1107.5,11:00
2025-12-26,09:20,BUY,Turtle Soup Model (PDL),A+,87,26131.9,26117.72,26160.26,26117.72,14.180000000000291,False,2,50,26117.72,SL,-14.180000000000291,-709.0,09:30
2025-12-29,09:20,BUY,Judas Swing Model,A+,91,26059.7,26041.76,26095.58,26059.7,17.94000000000233,True,7,50,26059.7,BREAKEVEN,0.0,0.0,09:55
2025-12-30,09:30,BUY,Judas Swing Model,A,81,25905.35,25875.25,25965.55,25905.35,30.099999999998545,True,10,50,25965.55,TP,60.20000000000073,3010.0,10:20
2025-12-30,15:00,BUY,Turtle Soup Model (PDL),A+,92,25936.45,25912.86,25983.63,25912.86,23.590000000000146,False,3,50,25940.15,SQUAREOFF,3.7000000000007276,185.0,15:15
2025-12-31,09:25,BUY,Turtle Soup Model (PWL),A+,92,26016.3,25974.09,26100.72,25974.09,42.20999999999913,False,3,50,25974.09,SL,-42.20999999999913,-2110.5,09:40
2026-01-01,09:25,BUY,Judas Swing Model,A+,88,26187.2,26146.28,26269.04,26146.28,40.92000000000189,False,10,50,26146.28,SL,-40.92000000000189,-2046.0,10:15
2026-01-02,09:20,SELL,Turtle Soup Model (PDH),A+,92,26192.45,26205.22,26166.91,26205.22,12.770000000000437,False,1,50,26205.22,SL,-12.770000000000437,-638.5,09:25
2026-01-05,10:10,SELL,Turtle Soup Model (PDH),A,84,26339.15,26345.73,26325.99,26345.73,6.579999999998108,False,1,50,26345.73,SL,-6.579999999998108,-329.0,10:15
2026-01-07,09:45,BUY,Judas Swing Model,A,83,26114.95,26098.38,26148.09,26098.38,16.56999999999971,False,1,50,26098.38,SL,-16.56999999999971,-828.5,09:50
2026-01-07,14:55,BUY,Turtle Soup Model (PWL),A+,92,26117.35,26109.47,26133.11,26109.47,7.879999999997381,False,1,50,26133.11,TP,15.760000000002037,788.0,15:00
2026-01-08,09:35,BUY,Judas Swing Model,A,76,26092.45,26046.58,26184.19,26046.58,45.86999999999898,False,8,50,26046.58,SL,-45.86999999999898,-2293.5,10:15
2026-01-09,09:25,BUY,Judas Swing Model,A,81,25840.9,25834.82,25853.06,25834.82,6.080000000001746,False,1,50,25834.82,SL,-6.080000000001746,-304.0,09:30
